Reasoner,Run_ID,Num_Positions,Graph_Triples,Time_Seconds,Status
HermiT,1,1,2640,2.92,SUCCESS
HermiT,1,2,3714,7.54,SUCCESS
HermiT,1,3,4534,16.96,SUCCESS
HermiT,1,4,5729,43.43,SUCCESS
HermiT,1,5,6937,97.04,SUCCESS
HermiT,1,6,8066,169.51,SUCCESS
HermiT,1,7,8972,338.96,SUCCESS
HermiT,1,8,9868,430.8,SUCCESS
HermiT,1,9,11021,600,TIMEOUT
HermiT,2,1,2857,3.22,SUCCESS
HermiT,2,2,3914,8.74,SUCCESS
HermiT,2,3,5075,22.68,SUCCESS
HermiT,2,4,6217,53.54,SUCCESS
HermiT,2,5,7244,113.28,SUCCESS
HermiT,2,6,8400,197.28,SUCCESS
HermiT,2,7,9366,346.18,SUCCESS
HermiT,2,8,10227,481.73,SUCCESS
HermiT,2,9,11246,600,TIMEOUT
HermiT,3,1,2559,2.76,SUCCESS
HermiT,3,2,3710,7.24,SUCCESS
HermiT,3,3,4569,16.46,SUCCESS
HermiT,3,4,5554,42.14,SUCCESS
HermiT,3,5,6500,88.79,SUCCESS
HermiT,3,6,7361,133.53,SUCCESS
HermiT,3,7,8399,283.03,SUCCESS
HermiT,3,8,9423,414.41,SUCCESS
HermiT,3,9,10578,591.2,SUCCESS
HermiT,3,10,11367,600,TIMEOUT
HermiT,4,1,2776,3.46,SUCCESS
HermiT,4,2,3882,8.56,SUCCESS
HermiT,4,3,4937,22.17,SUCCESS
HermiT,4,4,6007,53.39,SUCCESS
HermiT,4,5,7143,113.99,SUCCESS
HermiT,4,6,8252,195.99,SUCCESS
HermiT,4,7,9337,373.09,SUCCESS
HermiT,4,8,10501,531.28,SUCCESS
HermiT,4,9,11679,600,TIMEOUT
HermiT,5,1,2752,3.43,SUCCESS
HermiT,5,2,3698,7.76,SUCCESS
HermiT,5,3,4860,23.46,SUCCESS
HermiT,5,4,5988,55.41,SUCCESS
HermiT,5,5,7004,123.58,SUCCESS
HermiT,5,6,7864,163.53,SUCCESS
HermiT,5,7,9012,336.99,SUCCESS
HermiT,5,8,10184,526.33,SUCCESS
HermiT,5,9,11065,600,TIMEOUT
HermiT,6,1,2724,3.55,SUCCESS
HermiT,6,2,3831,8.53,SUCCESS
HermiT,6,3,4866,21.57,SUCCESS
HermiT,6,4,5785,43.65,SUCCESS
HermiT,6,5,6867,104.35,SUCCESS
HermiT,6,6,8008,181.62,SUCCESS
HermiT,6,7,9231,343.58,SUCCESS
HermiT,6,8,10159,531.76,SUCCESS
HermiT,6,9,11300,600,TIMEOUT
HermiT,7,1,2764,3.87,SUCCESS
HermiT,7,2,3816,9.75,SUCCESS
HermiT,7,3,4805,24.17,SUCCESS
HermiT,7,4,5722,48.2,SUCCESS
HermiT,7,5,6694,96.03,SUCCESS
HermiT,7,6,7646,150.5,SUCCESS
HermiT,7,7,8672,282.34,SUCCESS
HermiT,7,8,9846,426.2,SUCCESS
HermiT,7,9,10850,589.56,SUCCESS
HermiT,7,10,11832,600,TIMEOUT
HermiT,8,1,2676,4.5,SUCCESS
HermiT,8,2,3836,9.46,SUCCESS
HermiT,8,3,4677,21.27,SUCCESS
HermiT,8,4,5795,46.2,SUCCESS
HermiT,8,5,6802,97.98,SUCCESS
HermiT,8,6,7656,150.08,SUCCESS
HermiT,8,7,8811,290.59,SUCCESS
HermiT,8,8,10051,430.68,SUCCESS
HermiT,8,9,11099,600,TIMEOUT
HermiT,9,1,2517,3.88,SUCCESS
HermiT,9,2,3428,6.94,SUCCESS
HermiT,9,3,4260,14.88,SUCCESS
HermiT,9,4,5274,35.72,SUCCESS
HermiT,9,5,6484,89.59,SUCCESS
HermiT,9,6,7734,160.85,SUCCESS
HermiT,9,7,8749,306.03,SUCCESS
HermiT,9,8,9793,462.16,SUCCESS
HermiT,9,9,10738,600,TIMEOUT
HermiT,10,1,2638,4.16,SUCCESS
HermiT,10,2,3756,9.37,SUCCESS
HermiT,10,3,4652,20.06,SUCCESS
HermiT,10,4,5760,53.06,SUCCESS
HermiT,10,5,6648,92.9,SUCCESS
HermiT,10,6,7698,154.01,SUCCESS
HermiT,10,7,8831,327.15,SUCCESS
HermiT,10,8,9741,431.83,SUCCESS
HermiT,10,9,10697,600,TIMEOUT
HermiT,11,1,2586,4.13,SUCCESS
HermiT,11,2,3736,9.02,SUCCESS
HermiT,11,3,4869,25.89,SUCCESS
HermiT,11,4,5998,54.87,SUCCESS
HermiT,11,5,7166,117.14,SUCCESS
HermiT,11,6,8243,206.58,SUCCESS
HermiT,11,7,9439,431.16,SUCCESS
HermiT,11,8,10367,564.65,SUCCESS
HermiT,11,9,11477,600,TIMEOUT
HermiT,12,1,2760,4.59,SUCCESS
HermiT,12,2,3791,9.61,SUCCESS
HermiT,12,3,4897,26.35,SUCCESS
HermiT,12,4,5807,51.31,SUCCESS
HermiT,12,5,6930,108.01,SUCCESS
HermiT,12,6,8017,192.8,SUCCESS
HermiT,12,7,9213,351.4,SUCCESS
HermiT,12,8,10371,543.79,SUCCESS
HermiT,12,9,11401,600,TIMEOUT
HermiT,13,1,2662,4.31,SUCCESS
HermiT,13,2,3783,9.37,SUCCESS
HermiT,13,3,4759,21.8,SUCCESS
HermiT,13,4,5929,50.82,SUCCESS
HermiT,13,5,6955,104.93,SUCCESS
HermiT,13,6,7969,175.49,SUCCESS
HermiT,13,7,9031,316.72,SUCCESS
HermiT,13,8,10083,460.32,SUCCESS
HermiT,13,9,11274,600,TIMEOUT
HermiT,14,1,2829,4.33,SUCCESS
HermiT,14,2,3949,10.61,SUCCESS
HermiT,14,3,4767,22.62,SUCCESS
HermiT,14,4,5806,51.14,SUCCESS
HermiT,14,5,6670,98.6,SUCCESS
HermiT,14,6,7542,160.0,SUCCESS
HermiT,14,7,8516,314.55,SUCCESS
HermiT,14,8,9486,424.31,SUCCESS
HermiT,14,9,10642,600,TIMEOUT
HermiT,15,1,2603,3.96,SUCCESS
HermiT,15,2,3751,9.9,SUCCESS
HermiT,15,3,4846,23.07,SUCCESS
HermiT,15,4,5953,55.07,SUCCESS
HermiT,15,5,6800,105.03,SUCCESS
HermiT,15,6,7759,177.45,SUCCESS
HermiT,15,7,8715,315.82,SUCCESS
HermiT,15,8,9597,426.62,SUCCESS
HermiT,15,9,10656,600,TIMEOUT
HermiT,16,1,2569,4.42,SUCCESS
HermiT,16,2,3671,8.86,SUCCESS
HermiT,16,3,4597,18.11,SUCCESS
HermiT,16,4,5647,44.18,SUCCESS
HermiT,16,5,6723,95.41,SUCCESS
HermiT,16,6,7771,155.05,SUCCESS
HermiT,16,7,8857,310.24,SUCCESS
HermiT,16,8,9758,424.15,SUCCESS
HermiT,16,9,10797,600,TIMEOUT
HermiT,17,1,2759,5.08,SUCCESS
HermiT,17,2,3774,8.95,SUCCESS
HermiT,17,3,4912,22.82,SUCCESS
HermiT,17,4,5838,46.8,SUCCESS
HermiT,17,5,6712,97.19,SUCCESS
HermiT,17,6,7727,183.0,SUCCESS
HermiT,17,7,8802,311.38,SUCCESS
HermiT,17,8,9978,474.92,SUCCESS
HermiT,17,9,10867,600,TIMEOUT
HermiT,18,1,2747,4.91,SUCCESS
HermiT,18,2,3892,9.49,SUCCESS
HermiT,18,3,4868,21.82,SUCCESS
HermiT,18,4,6028,53.67,SUCCESS
HermiT,18,5,7030,108.09,SUCCESS
HermiT,18,6,7931,177.61,SUCCESS
HermiT,18,7,9037,307.8,SUCCESS
HermiT,18,8,10131,510.44,SUCCESS
HermiT,18,9,11201,600,TIMEOUT
HermiT,19,1,2626,4.51,SUCCESS
HermiT,19,2,3577,8.42,SUCCESS
HermiT,19,3,4705,23.65,SUCCESS
HermiT,19,4,5780,52.6,SUCCESS
HermiT,19,5,6667,95.1,SUCCESS
HermiT,19,6,7823,168.5,SUCCESS
HermiT,19,7,8956,312.95,SUCCESS
HermiT,19,8,9901,454.83,SUCCESS
HermiT,19,9,10899,600,TIMEOUT
HermiT,20,1,2815,5.22,SUCCESS
HermiT,20,2,3921,10.54,SUCCESS
HermiT,20,3,4981,25.53,SUCCESS
HermiT,20,4,6105,55.65,SUCCESS
HermiT,20,5,7241,134.76,SUCCESS
HermiT,20,6,8151,170.29,SUCCESS
HermiT,20,7,9108,335.39,SUCCESS
HermiT,20,8,10074,473.44,SUCCESS
HermiT,20,9,11291,600,TIMEOUT
HermiT,21,1,2815,5.04,SUCCESS
HermiT,21,2,3804,10.08,SUCCESS
HermiT,21,3,4763,21.43,SUCCESS
HermiT,21,4,5882,57.07,SUCCESS
HermiT,21,5,7065,112.85,SUCCESS
HermiT,21,6,7980,182.25,SUCCESS
HermiT,21,7,8925,331.08,SUCCESS
HermiT,21,8,9910,456.68,SUCCESS
HermiT,21,9,11057,600,TIMEOUT
HermiT,22,1,2794,4.64,SUCCESS
HermiT,22,2,3910,9.68,SUCCESS
HermiT,22,3,5030,25.97,SUCCESS
HermiT,22,4,6155,59.75,SUCCESS
HermiT,22,5,7328,135.47,SUCCESS
HermiT,22,6,8478,210.34,SUCCESS
HermiT,22,7,9657,388.05,SUCCESS
HermiT,22,8,10550,544.18,SUCCESS
HermiT,22,9,11385,600,TIMEOUT
HermiT,23,1,2656,4.5,SUCCESS
HermiT,23,2,3883,10.11,SUCCESS
HermiT,23,3,4761,21.42,SUCCESS
HermiT,23,4,5847,51.32,SUCCESS
HermiT,23,5,6910,104.18,SUCCESS
HermiT,23,6,7978,168.95,SUCCESS
HermiT,23,7,9086,339.33,SUCCESS
HermiT,23,8,9907,433.03,SUCCESS
HermiT,23,9,10834,600,TIMEOUT
HermiT,24,1,2735,4.52,SUCCESS
HermiT,24,2,3683,8.11,SUCCESS
HermiT,24,3,4658,20.51,SUCCESS
HermiT,24,4,5720,49.45,SUCCESS
HermiT,24,5,6625,90.48,SUCCESS
HermiT,24,6,7631,151.66,SUCCESS
HermiT,24,7,8623,283.0,SUCCESS
HermiT,24,8,9647,425.12,SUCCESS
HermiT,24,9,10740,571.84,SUCCESS
HermiT,24,10,11913,600,TIMEOUT
HermiT,25,1,2831,5.68,SUCCESS
HermiT,25,2,3946,10.22,SUCCESS
HermiT,25,3,5025,24.24,SUCCESS
HermiT,25,4,6213,60.27,SUCCESS
HermiT,25,5,7317,132.44,SUCCESS
HermiT,25,6,8504,210.73,SUCCESS
HermiT,25,7,9502,403.87,SUCCESS
HermiT,25,8,10659,520.43,SUCCESS
HermiT,25,9,11770,600,TIMEOUT
HermiT,26,1,2558,4.44,SUCCESS
HermiT,26,2,3487,8.2,SUCCESS
HermiT,26,3,4630,21.47,SUCCESS
HermiT,26,4,5729,51.52,SUCCESS
HermiT,26,5,6745,111.93,SUCCESS
HermiT,26,6,7832,179.51,SUCCESS
HermiT,26,7,8679,324.87,SUCCESS
HermiT,26,8,9614,422.35,SUCCESS
HermiT,26,9,10447,600,TIMEOUT
HermiT,27,1,2711,4.69,SUCCESS
HermiT,27,2,3629,8.41,SUCCESS
HermiT,27,3,4788,21.23,SUCCESS
HermiT,27,4,5968,56.53,SUCCESS
HermiT,27,5,6998,114.09,SUCCESS
HermiT,27,6,8088,191.51,SUCCESS
HermiT,27,7,8968,327.67,SUCCESS
HermiT,27,8,10103,469.59,SUCCESS
HermiT,27,9,11175,600,TIMEOUT
HermiT,28,1,2526,4.53,SUCCESS
HermiT,28,2,3614,8.86,SUCCESS
HermiT,28,3,4537,20.74,SUCCESS
HermiT,28,4,5417,43.7,SUCCESS
HermiT,28,5,6409,85.81,SUCCESS
HermiT,28,6,7468,149.18,SUCCESS
HermiT,28,7,8594,288.29,SUCCESS
HermiT,28,8,9471,412.39,SUCCESS
HermiT,28,9,10413,560.91,SUCCESS
HermiT,28,10,11610,600,TIMEOUT
HermiT,29,1,2550,4.63,SUCCESS
HermiT,29,2,3589,8.18,SUCCESS
HermiT,29,3,4624,20.78,SUCCESS
HermiT,29,4,5812,46.3,SUCCESS
HermiT,29,5,6941,104.36,SUCCESS
HermiT,29,6,7936,156.06,SUCCESS
HermiT,29,7,8933,324.54,SUCCESS
HermiT,29,8,9929,448.12,SUCCESS
HermiT,29,9,11040,600,TIMEOUT
HermiT,30,1,2725,4.11,SUCCESS
HermiT,30,2,3810,9.58,SUCCESS
HermiT,30,3,4838,22.58,SUCCESS
HermiT,30,4,5947,48.8,SUCCESS
HermiT,30,5,6912,120.17,SUCCESS
HermiT,30,6,7931,169.95,SUCCESS
HermiT,30,7,8878,329.32,SUCCESS
HermiT,30,8,10069,464.96,SUCCESS
HermiT,30,9,10978,600,TIMEOUT
HermiT,31,1,2760,4.68,SUCCESS
HermiT,31,2,3737,9.65,SUCCESS
HermiT,31,3,4618,18.98,SUCCESS
HermiT,31,4,5673,49.28,SUCCESS
HermiT,31,5,6804,102.02,SUCCESS
HermiT,31,6,7880,156.22,SUCCESS
HermiT,31,7,8802,298.02,SUCCESS
HermiT,31,8,9958,444.81,SUCCESS
HermiT,31,9,10927,600,TIMEOUT
HermiT,32,1,2763,5.76,SUCCESS
HermiT,32,2,3884,10.58,SUCCESS
HermiT,32,3,5110,27.09,SUCCESS
HermiT,32,4,6064,53.03,SUCCESS
HermiT,32,5,7256,127.14,SUCCESS
HermiT,32,6,8249,196.21,SUCCESS
HermiT,32,7,9385,363.21,SUCCESS
HermiT,32,8,10546,551.06,SUCCESS
HermiT,32,9,11624,600,TIMEOUT
Pellet,1,1,2801,9.83,SUCCESS
Pellet,1,2,3914,12.71,SUCCESS
Pellet,1,3,5088,600,TIMEOUT
Pellet,2,1,2767,7.89,SUCCESS
Pellet,2,2,3855,12.36,SUCCESS
Pellet,2,3,4733,100.99,SUCCESS
Pellet,2,4,5728,513.91,SUCCESS
Pellet,2,5,6597,115.68,SUCCESS
Pellet,2,6,7628,313.79,SUCCESS
Pellet,2,7,8824,377.48,SUCCESS
Pellet,2,8,9974,600,TIMEOUT
Pellet,3,1,2601,6.34,SUCCESS
Pellet,3,2,3630,22.54,SUCCESS
Pellet,3,3,4678,113.92,SUCCESS
Pellet,3,4,5732,52.51,SUCCESS
Pellet,3,5,6857,600,TIMEOUT
Pellet,4,1,2690,5.64,SUCCESS
Pellet,4,2,3690,30.71,SUCCESS
Pellet,4,3,4615,30.5,SUCCESS
Pellet,4,4,5800,600,TIMEOUT
Pellet,5,1,2633,4.99,SUCCESS
Pellet,5,2,3715,9.93,SUCCESS
Pellet,5,3,4666,86.76,SUCCESS
Pellet,5,4,5615,360.78,SUCCESS
Pellet,5,5,6488,600,TIMEOUT
Pellet,6,1,2690,9.08,SUCCESS
Pellet,6,2,3615,9.14,SUCCESS
Pellet,6,3,4853,275.96,SUCCESS
Pellet,6,4,5917,448.4,SUCCESS
Pellet,6,5,7064,600,TIMEOUT
Pellet,7,1,2503,4.85,SUCCESS
Pellet,7,2,3611,15.74,SUCCESS
Pellet,7,3,4639,81.64,SUCCESS
Pellet,7,4,5558,386.15,SUCCESS
Pellet,7,5,6432,469.44,SUCCESS
Pellet,7,6,7475,217.0,SUCCESS
Pellet,7,7,8594,320.44,SUCCESS
Pellet,7,8,9703,525.59,SUCCESS
Pellet,7,9,10887,600,TIMEOUT
Pellet,8,1,2842,6.37,SUCCESS
Pellet,8,2,3860,31.03,SUCCESS
Pellet,8,3,4823,173.85,SUCCESS
Pellet,8,4,5906,303.17,SUCCESS
Pellet,8,5,6994,600,TIMEOUT
Pellet,9,1,2856,5.96,SUCCESS
Pellet,9,2,4091,98.52,SUCCESS
Pellet,9,3,5056,202.9,SUCCESS
Pellet,9,4,5973,491.94,SUCCESS
Pellet,9,5,6921,154.17,SUCCESS
Pellet,9,6,8125,600,TIMEOUT
Pellet,10,1,2709,5.64,SUCCESS
Pellet,10,2,3678,9.47,SUCCESS
Pellet,10,3,4871,135.38,SUCCESS
Pellet,10,4,5766,484.75,SUCCESS
Pellet,10,5,6948,600,TIMEOUT
Pellet,11,1,2532,5.91,SUCCESS
Pellet,11,2,3636,27.27,SUCCESS
Pellet,11,3,4817,102.47,SUCCESS
Pellet,11,4,5887,600,TIMEOUT
Pellet,12,1,2799,8.6,SUCCESS
Pellet,12,2,3797,10.4,SUCCESS
Pellet,12,3,4935,136.32,SUCCESS
Pellet,12,4,6069,600,TIMEOUT
Pellet,13,1,2525,5.14,SUCCESS
Pellet,13,2,3423,7.08,SUCCESS
Pellet,13,3,4436,16.69,SUCCESS
Pellet,13,4,5596,48.26,SUCCESS
Pellet,13,5,6740,118.37,SUCCESS
Pellet,13,6,7938,600,TIMEOUT
Pellet,14,1,2506,5.9,SUCCESS
Pellet,14,2,3560,24.79,SUCCESS
Pellet,14,3,4677,97.81,SUCCESS
Pellet,14,4,5817,53.77,SUCCESS
Pellet,14,5,6891,128.74,SUCCESS
Pellet,14,6,7952,303.5,SUCCESS
Pellet,14,7,9016,600,TIMEOUT
Pellet,15,1,2663,5.07,SUCCESS
Pellet,15,2,3770,11.2,SUCCESS
Pellet,15,3,4860,199.98,SUCCESS
Pellet,15,4,5815,67.56,SUCCESS
Pellet,15,5,6835,127.84,SUCCESS
Pellet,15,6,7690,600,TIMEOUT
Pellet,16,1,2780,6.04,SUCCESS
Pellet,16,2,3739,10.48,SUCCESS
Pellet,16,3,4819,122.07,SUCCESS
Pellet,16,4,5824,491.62,SUCCESS
Pellet,16,5,6979,600,TIMEOUT
Pellet,17,1,2821,8.55,SUCCESS
Pellet,17,2,3667,20.26,SUCCESS
Pellet,17,3,4704,74.35,SUCCESS
Pellet,17,4,5939,534.54,SUCCESS
Pellet,17,5,7098,136.85,SUCCESS
Pellet,17,6,8205,600,TIMEOUT
Pellet,18,1,2798,7.46,SUCCESS
Pellet,18,2,3883,27.42,SUCCESS
Pellet,18,3,4857,33.42,SUCCESS
Pellet,18,4,5974,427.21,SUCCESS
Pellet,18,5,6990,130.21,SUCCESS
Pellet,18,6,8167,600,TIMEOUT
Pellet,19,1,2527,5.29,SUCCESS
Pellet,19,2,3462,13.35,SUCCESS
Pellet,19,3,4673,134.84,SUCCESS
Pellet,19,4,5703,57.16,SUCCESS
Pellet,19,5,6859,600,TIMEOUT
Pellet,20,1,2856,10.19,SUCCESS
Pellet,20,2,3952,12.59,SUCCESS
Pellet,20,3,5132,507.78,SUCCESS
Pellet,20,4,6270,79.73,SUCCESS
Pellet,20,5,7284,137.56,SUCCESS
Pellet,20,6,8341,316.62,SUCCESS
Pellet,20,7,9340,600,TIMEOUT
Pellet,21,1,2635,7.25,SUCCESS
Pellet,21,2,3529,7.77,SUCCESS
Pellet,21,3,4578,23.46,SUCCESS
Pellet,21,4,5586,44.34,SUCCESS
Pellet,21,5,6771,114.8,SUCCESS
Pellet,21,6,7891,263.86,SUCCESS
Pellet,21,7,8849,348.76,SUCCESS
Pellet,21,8,10011,600,TIMEOUT
Pellet,22,1,2776,8.48,SUCCESS
Pellet,22,2,3917,73.0,SUCCESS
Pellet,22,3,5090,229.51,SUCCESS
Pellet,22,4,6262,95.56,SUCCESS
Pellet,22,5,7475,600,TIMEOUT
Pellet,23,1,2794,10.99,SUCCESS
Pellet,23,2,3665,24.15,SUCCESS
Pellet,23,3,4870,31.46,SUCCESS
Pellet,23,4,5756,600,TIMEOUT
Pellet,24,1,2767,6.75,SUCCESS
Pellet,24,2,3685,6.91,SUCCESS
Pellet,24,3,4551,14.09,FAILED
Pellet,25,1,2686,3.43,SUCCESS
Pellet,25,2,3638,7.02,SUCCESS
Pellet,25,3,4646,82.45,SUCCESS
Pellet,25,4,5653,271.73,SUCCESS
Pellet,25,5,6895,2.2,SUCCESS
Pellet,25,6,7860,600,TIMEOUT
Pellet,26,1,2647,4.49,SUCCESS
Pellet,26,2,3739,21.54,SUCCESS
Pellet,26,3,4568,15.77,SUCCESS
Pellet,26,4,5727,260.31,SUCCESS
Pellet,26,5,6718,96.59,SUCCESS
Pellet,26,6,7797,165.89,SUCCESS
Pellet,26,7,8780,351.93,SUCCESS
Pellet,26,8,9834,600,TIMEOUT
Pellet,27,1,2835,3.72,SUCCESS
Pellet,27,2,3908,87.94,SUCCESS
Pellet,27,3,4796,90.24,SUCCESS
Pellet,27,4,5889,54.49,SUCCESS
Pellet,27,5,6947,182.79,SUCCESS
Pellet,27,6,8098,600,TIMEOUT
Pellet,28,1,2710,6.05,SUCCESS
Pellet,28,2,3598,6.12,SUCCESS
Pellet,28,3,4633,74.48,SUCCESS
Pellet,28,4,5712,40.63,FAILED
Pellet,29,1,2796,3.84,SUCCESS
Pellet,29,2,3932,10.63,SUCCESS
Pellet,29,3,5059,138.12,SUCCESS
Pellet,29,4,5935,66.71,SUCCESS
Pellet,29,5,7123,109.09,SUCCESS
Pellet,29,6,8158,600,TIMEOUT
Pellet,30,1,2763,6.47,SUCCESS
Pellet,30,2,3923,10.04,SUCCESS
Pellet,30,3,5089,28.89,SUCCESS
Pellet,30,4,6190,59.16,SUCCESS
Pellet,30,5,7125,600,TIMEOUT
Pellet,31,1,2744,5.92,SUCCESS
Pellet,31,2,3568,16.35,SUCCESS
Pellet,31,3,4490,15.96,SUCCESS
Pellet,31,4,5412,36.54,SUCCESS
Pellet,31,5,6212,68.82,SUCCESS
Pellet,31,6,7165,600,TIMEOUT
Pellet,32,1,2814,4.58,SUCCESS
Pellet,32,2,3885,9.21,SUCCESS
Pellet,32,3,4774,25.26,SUCCESS
Pellet,32,4,5837,52.09,SUCCESS
Pellet,32,5,6791,600,TIMEOUT
